,ADORA2A,ADORA2B,CD4,CD8A,CD27,CD28,CD40,CD45R0,CD45RA,CD272,CD274,CD276,CTLA4,CTLA4-TM,EOMES,FAS,FASLG,FOXP3,GNLY,GZMA,GZMB,GZMH,GZMK,GZMM,HAVCR2,ICOS,IFNG,IL2RA,IL2RG,IL7R,LAG3,NOX2,PRF1,SELL,SIGLEC7,TNF,TNFRSF4,TNFRSF9,TNFRSF18,TNFSF18,VISTA,VTCN1
anti-HER2 #1 + Tumor 6,12,1,43,116,42,13,0,43,85,2,16,18,27,12,17,28,6,12,44,103,293,25,18,8,9,37,15,109,70,60,32,1,52,29,1,67,15,6,10,6,9,10
anti-HER2 #1 + Tumor 7,65,2,252,163,230,161,13,181,60,24,7,41,146,44,28,135,27,15,143,232,555,49,42,108,19,119,37,375,304,191,35,14,235,87,7,51,62,45,16,3,14,6
anti-HER2 #1 + Tumor 8,9,0,39,90,35,80,3,17,8,9,2,11,59,12,2,48,4,29,30,111,198,32,15,18,15,56,43,125,92,82,24,0,57,16,6,100,16,5,10,0,9,5
anti-HER2 #1 + Tumor 9,8,2,168,313,283,203,3,13,326,51,55,5,5,4,32,96,21,63,150,338,628,73,32,12,43,94,79,311,279,103,67,10,124,78,14,33,8,69,68,2,60,17
anti-HER2 #2 1,15,31,100,12,39,29,60,42,18,57,57,60,26,10,25,51,10,26,109,76,98,44,13,16,23,36,24,35,115,55,37,6,50,42,8,54,25,9,21,24,18,10
anti-HER2 #2 2,30,33,61,7,47,53,43,16,19,15,12,40,13,18,34,23,12,35,36,47,85,19,4,26,9,43,29,31,77,33,43,19,35,14,6,71,34,16,34,22,24,10
anti-HER2 #2 3,22,31,41,11,33,39,38,20,21,27,27,25,15,14,21,26,7,34,20,35,80,9,13,11,10,47,14,32,54,32,33,16,34,12,7,67,28,17,30,12,28,8
anti-HER2 #2 4,15,27,72,7,43,34,35,45,14,53,40,8,16,13,30,25,3,30,15,58,75,51,12,48,10,32,23,34,102,14,26,24,54,7,2,53,39,17,10,22,34,6
anti-HER2 #2 5,36,53,46,14,35,31,55,62,24,62,8,55,25,12,24,62,23,21,133,44,76,20,11,25,2,55,16,31,162,40,35,17,33,46,9,34,33,11,46,34,28,27
anti-HER2 #2 6,13,39,42,7,37,54,54,15,18,22,30,34,9,4,30,19,1,37,110,50,54,12,14,7,4,51,40,40,100,41,21,9,43,43,3,68,36,9,26,10,15,7
